No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
999,513.504421,192.168.11.12,192.168.11.20,TCP,93,0.000133,,,"59242  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2818200694 TSecr=1200820722 [TCP segment of a reassembled PDU]"
1000,513.504513,192.168.11.12,192.168.11.20,TCP,66,0.000092,,,"59242  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2818200694 TSecr=1200820722"
1001,513.511679,192.168.11.20,192.168.11.12,TCP,66,0.007166,,,6000  >  59242 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200820729 TSecr=2818200694
1002,513.512033,192.168.11.20,192.168.11.12,TCP,66,0.000354,,,"6000  >  59242 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200820730 TSecr=2818200694"
1003,513.51208,192.168.11.12,192.168.11.20,TCP,66,0.000047,,,59242  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2818200701 TSecr=1200820730
1004,513.539684,192.168.11.12,255.255.255.255,UDP,209,0.027604,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,49600  >  7000 Len=167
1005,513.553227,192.168.11.32,192.168.11.12,TCP,74,0.013543,œ,,39626  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1628322973 TSecr=0 WS=128
1006,513.553399,192.168.11.12,192.168.11.32,TCP,74,0.000172,,,"6000  >  39626 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043926362 TSecr=1628322973 WS=128"
1007,513.561312,192.168.11.32,192.168.11.12,TCP,66,0.007913,,,39626  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1628322985 TSecr=3043926362
1008,513.561729,192.168.11.32,192.168.11.12,TCP,93,0.000417,,,"39626  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1628322985 TSecr=3043926362 [TCP segment of a reassembled PDU]"
1009,513.561785,192.168.11.12,192.168.11.32,TCP,66,0.000056,,,6000  >  39626 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043926370 TSecr=1628322985
1010,513.561839,192.168.11.32,192.168.11.12,TCP,66,0.000054,,,"39626  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1628322985 TSecr=3043926362"
1011,513.562621,192.168.11.12,192.168.11.32,TCP,66,0.000782,,,"6000  >  39626 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3043926371 TSecr=1628322985"
1012,513.570727,192.168.11.32,192.168.11.12,TCP,66,0.008106,,,39626  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1628322993 TSecr=3043926371
1013,520.974735,192.168.11.12,192.168.11.20,TCP,74,7.404008,,,41636  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2818208164 TSecr=0 WS=128
1014,520.981221,192.168.11.20,192.168.11.12,TCP,74,0.006486,,,"6000  >  41636 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200828199 TSecr=2818208164 WS=128"
1015,520.981327,192.168.11.12,192.168.11.20,TCP,66,0.000106,,,41636  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2818208171 TSecr=1200828199
1016,520.981456,192.168.11.12,192.168.11.20,TCP,93,0.000129,,,"41636  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2818208171 TSecr=1200828199 [TCP segment of a reassembled PDU]"
1017,520.981558,192.168.11.12,192.168.11.20,TCP,66,0.000102,,,"41636  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2818208171 TSecr=1200828199"
1018,520.988332,192.168.11.20,192.168.11.12,TCP,66,0.006774,,,6000  >  41636 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200828206 TSecr=2818208171
1019,520.988684,192.168.11.20,192.168.11.12,TCP,66,0.000352,,,"6000  >  41636 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200828207 TSecr=2818208171"
1020,520.988731,192.168.11.12,192.168.11.20,TCP,66,0.000047,,,41636  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2818208178 TSecr=1200828207
1021,521.017402,192.168.11.12,255.255.255.255,UDP,209,0.028671,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47088  >  7000 Len=167
1022,521.027563,192.168.11.32,192.168.11.12,TCP,74,0.010161,œ,,39640  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1628330450 TSecr=0 WS=128
1023,521.027695,192.168.11.12,192.168.11.32,TCP,74,0.000132,,,"6000  >  39640 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043933836 TSecr=1628330450 WS=128"
1024,521.035952,192.168.11.32,192.168.11.12,TCP,66,0.008257,,,39640  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1628330458 TSecr=3043933836
1025,521.036578,192.168.11.32,192.168.11.12,TCP,93,0.000626,,,"39640  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1628330459 TSecr=3043933836 [TCP segment of a reassembled PDU]"
1026,521.036664,192.168.11.12,192.168.11.32,TCP,66,0.000086,,,6000  >  39640 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043933845 TSecr=1628330459
1027,521.036727,192.168.11.32,192.168.11.12,TCP,66,0.000063,,,"39640  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1628330459 TSecr=3043933836"
1028,521.037746,192.168.11.12,192.168.11.32,TCP,66,0.001019,,,"6000  >  39640 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3043933846 TSecr=1628330459"
1029,521.045694,192.168.11.32,192.168.11.12,TCP,66,0.007948,,,39640  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1628330468 TSecr=3043933846
1030,550.584784,192.168.11.12,192.168.11.20,TCP,74,29.53909,,,57460  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2818237774 TSecr=0 WS=128
1031,550.591341,192.168.11.20,192.168.11.12,TCP,74,0.006557,,,"6000  >  57460 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200857810 TSecr=2818237774 WS=128"
1032,550.591445,192.168.11.12,192.168.11.20,TCP,66,0.000104,,,57460  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2818237781 TSecr=1200857810
1033,550.591605,192.168.11.12,192.168.11.20,TCP,93,0.00016,,,"57460  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2818237781 TSecr=1200857810 [TCP segment of a reassembled PDU]"
1034,550.591692,192.168.11.12,192.168.11.20,TCP,66,0.000087,,,"57460  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2818237781 TSecr=1200857810"
1035,550.607164,192.168.11.20,192.168.11.12,TCP,66,0.015472,,,6000  >  57460 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200857825 TSecr=2818237781
1036,550.607533,192.168.11.20,192.168.11.12,TCP,66,0.000369,,,"6000  >  57460 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200857826 TSecr=2818237781"
1037,550.607588,192.168.11.12,192.168.11.20,TCP,66,0.000055,,,57460  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2818237797 TSecr=1200857826
1038,550.636657,192.168.11.12,255.255.255.255,UDP,209,0.029069,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,34870  >  7000 Len=167
1039,550.647456,192.168.11.32,192.168.11.12,TCP,74,0.010799,œ,,37482  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1628360070 TSecr=0 WS=128
1040,550.647587,192.168.11.12,192.168.11.32,TCP,74,0.000131,,,"6000  >  37482 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043963456 TSecr=1628360070 WS=128"
1041,550.658416,192.168.11.32,192.168.11.12,TCP,66,0.010829,,,37482  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1628360082 TSecr=3043963456
1042,550.658951,192.168.11.32,192.168.11.12,TCP,93,0.000535,,,"37482  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1628360082 TSecr=3043963456 [TCP segment of a reassembled PDU]"
1043,550.659058,192.168.11.12,192.168.11.32,TCP,66,0.000107,,,6000  >  37482 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043963467 TSecr=1628360082
1044,550.659136,192.168.11.32,192.168.11.12,TCP,66,0.000078,,,"37482  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1628360082 TSecr=3043963456"
1045,550.660818,192.168.11.12,192.168.11.32,TCP,66,0.001682,,,"6000  >  37482 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3043963469 TSecr=1628360082"
1046,550.670007,192.168.11.32,192.168.11.12,TCP,66,0.009189,,,37482  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1628360092 TSecr=3043963469
1047,557.767644,192.168.11.12,192.168.11.20,TCP,74,7.097637,,,37268  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2818244957 TSecr=0 WS=128
1048,557.774167,192.168.11.20,192.168.11.12,TCP,74,0.006523,,,"6000  >  37268 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200864993 TSecr=2818244957 WS=128"
1049,557.774264,192.168.11.12,192.168.11.20,TCP,66,0.000097,,,37268  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2818244964 TSecr=1200864993
1050,557.774426,192.168.11.12,192.168.11.20,TCP,93,0.000162,,,"37268  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2818244964 TSecr=1200864993 [TCP segment of a reassembled PDU]"
1051,557.774526,192.168.11.12,192.168.11.20,TCP,66,0.0001,,,"37268  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2818244964 TSecr=1200864993"
